,dataset,data,n_mics,target,thr_smpl,mean_f,mean_p,mean_r,mean_e
55,011000,synt,2.0,3.0,3.0,0.45238095238095233,0.4857142857142857,0.42857142857142855,2.324103951271421
56,011000,synt,2.0,3.0,5.0,0.6904761904761905,0.7571428571428571,0.6428571428571428,2.9519666394197444
57,011000,real,2.0,3.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5153037154749055
58,011000,real,2.0,3.0,3.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.7687380933456112
59,011000,real,2.0,3.0,5.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,2.6753717761127724
60,011000,synt,4.0,3.0,1.0,0.7994505494505494,0.8154761904761905,0.7857142857142857,0.5431559245539476
61,011000,synt,4.0,3.0,3.0,0.7994505494505494,0.8154761904761905,0.7857142857142857,0.6155703566362123
62,011000,synt,4.0,3.0,5.0,0.8351648351648351,0.8511904761904762,0.8214285714285714,0.8005405600114099
63,011000,real,4.0,3.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.4495985587585629
64,011000,real,4.0,3.0,3.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,1.494789430648277
65,011000,real,4.0,3.0,5.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,1.494789430648277
66,011000,synt,6.0,3.0,1.0,0.8477078477078477,0.9722222222222223,0.7619047619047619,0.3367409826131839
67,011000,synt,6.0,3.0,3.0,0.8733488733488732,1.0,0.7857142857142857,0.4528995964573774
68,011000,synt,6.0,3.0,5.0,0.8733488733488732,1.0,0.7857142857142857,0.4528995964573774
69,011000,real,6.0,3.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.35303262588442647
70,011000,real,6.0,3.0,3.0,0.11904761904761903,0.11904761904761903,0.11904761904761903,1.07292534205956
71,011000,real,6.0,3.0,5.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,2.2813160947010993
72,011110,synt,2.0,0.0,1.0,0.6571428571428571,0.8571428571428572,0.5714285714285714,0.2342600787246544
73,011110,synt,2.0,0.0,3.0,0.6571428571428571,0.8571428571428572,0.5714285714285714,0.2342600787246544
74,011110,synt,2.0,0.0,5.0,0.6571428571428571,0.8571428571428572,0.5714285714285714,0.2342600787246544
75,011110,real,2.0,0.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6563652423261207
76,011110,real,2.0,0.0,3.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6706355832548283
77,011110,real,2.0,0.0,5.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,2.532853901065068
78,011110,synt,4.0,0.0,1.0,0.8246753246753247,0.8928571428571429,0.7857142857142857,0.2185836601497712
79,011110,synt,4.0,0.0,3.0,0.8246753246753247,0.8928571428571429,0.7857142857142857,0.2185836601497712
80,011110,synt,4.0,0.0,5.0,0.8246753246753247,0.8928571428571429,0.7857142857142857,0.2185836601497712
81,011110,real,4.0,0.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.7892677703937565
82,011110,real,4.0,0.0,3.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.7892677703937565
83,011110,real,4.0,0.0,5.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,2.7892677703937565
84,011110,synt,6.0,0.0,1.0,0.7860750360750361,0.9047619047619048,0.7142857142857143,0.19504221057977764
85,011110,synt,6.0,0.0,3.0,0.7860750360750361,0.9047619047619048,0.7142857142857143,0.19504221057977764
86,011110,synt,6.0,0.0,5.0,0.7860750360750361,0.9047619047619048,0.7142857142857143,0.19504221057977764
87,011110,real,6.0,0.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.277081152979387
88,011110,real,6.0,0.0,3.0,0.11904761904761903,0.11904761904761903,0.11904761904761903,1.7194339481358623
