,array,dataset,target_idx,interf_idx,sir,snr,bf,sar_out,sir_in,snr_in,sdr_in,sir_out,snr_out,sdr_out,pesq_in,pesq_out
90,0.0,0.0,3.0,2.0,0.0,0.0,dpDS,6.474747911991213,4.431922533141814,-0.01565770956607546,-1.3420563947223534,4.30368014207698,-0.3919651009751145,-1.6574690126851443,1.756711483001709,1.6692262887954712
91,0.0,0.0,3.0,2.0,0.0,0.0,rtfMVDR,4.9521189778437105,4.431922533141814,-0.01565770956607546,-1.3420563947223534,2.1307188751766026,14.224008925928153,1.8712644792164501,1.756711483001709,2.1647636890411377
92,0.0,0.0,3.0,2.0,0.0,0.0,ecoMVDR,-7.4607500183937825,4.431922533141814,-0.01565770956607546,-1.3420563947223534,2.2990884362882458,22.380979841293573,2.256998468446889,1.756711483001709,2.182701826095581
93,0.0,0.0,3.0,2.0,0.0,0.0,rtfLCMV,4.089251555604038,4.431922533141814,-0.01565770956607546,-1.3420563947223534,8.138961831433727,9.717633901195825,5.852210371056089,1.756711483001709,2.0773143768310547
94,0.0,0.0,3.0,2.0,0.0,0.0,ecoLCMV,-5.771392371109889,4.431922533141814,-0.01565770956607546,-1.3420563947223534,2.1477428479182823,19.835579611503146,2.0766032850908016,1.756711483001709,2.0503780841827393
95,0.0,0.0,3.0,2.0,0.0,10.0,dpDS,6.474747911991213,4.431922533141814,10.00362269995132,3.37011445364408,4.30368014207698,9.58420667838213,3.168950598747333,2.0983548164367676,2.0869064331054688
96,0.0,0.0,3.0,2.0,0.0,10.0,rtfMVDR,5.223620746964706,4.431922533141814,10.00362269995132,3.37011445364408,2.3702891592595,24.071114011697997,2.340905187358934,2.0983548164367676,2.343017816543579
97,0.0,0.0,3.0,2.0,0.0,10.0,ecoMVDR,-7.51496100490603,4.431922533141814,10.00362269995132,3.37011445364408,2.25662520361987,32.276401731366505,2.2522780331012626,2.0983548164367676,2.3037490844726562
98,0.0,0.0,3.0,2.0,0.0,10.0,rtfLCMV,4.635909458615489,4.431922533141814,10.00362269995132,3.37011445364408,11.41242268202751,20.170676224106757,10.867112162597914,2.0983548164367676,2.3966305255889893
99,0.0,0.0,3.0,2.0,0.0,10.0,ecoLCMV,-5.798391420756462,4.431922533141814,10.00362269995132,3.37011445364408,2.2889680342884766,29.813824190107752,2.280845803619573,2.0983548164367676,2.1781837940216064
100,0.0,0.0,3.0,2.0,0.0,20.0,dpDS,6.474747911991213,4.431922533141814,20.03122637043974,4.310651902571428,4.30368014207698,19.608859598568856,4.181903390989745,2.281684160232544,2.242945671081543
101,0.0,0.0,3.0,2.0,0.0,20.0,rtfMVDR,5.289806456953845,4.431922533141814,20.03122637043974,4.310651902571428,2.3361429598276953,32.1537996360904,2.331749121441331,2.281684160232544,2.403380870819092
102,0.0,0.0,3.0,2.0,0.0,20.0,ecoMVDR,-7.4175483225459695,4.431922533141814,20.03122637043974,4.310651902571428,2.270647357589002,42.27930046868829,2.270213864514377,2.281684160232544,2.386690855026245
103,0.0,0.0,3.0,2.0,0.0,20.0,rtfLCMV,4.589961373051475,4.431922533141814,20.03122637043974,4.310651902571428,11.34707850765209,29.19571543036846,11.2769117731869,2.281684160232544,2.5702662467956543
104,0.0,0.0,3.0,2.0,0.0,20.0,ecoLCMV,-5.818386258906418,4.431922533141814,20.03122637043974,4.310651902571428,2.162250834543751,39.8484472877737,2.161268403552967,2.281684160232544,2.2550272941589355
105,0.0,0.0,3.0,2.0,10.0,0.0,dpDS,6.474747911991213,14.431922533141815,-0.005049503305017586,-0.16469642740043106,14.30368014207698,-0.3975539377678138,-0.5501501980373684,1.8304634094238281,1.8050696849822998
106,0.0,0.0,3.0,2.0,10.0,0.0,rtfMVDR,4.93851410222346,14.431922533141815,-0.005049503305017586,-0.16469642740043106,12.14469578750927,14.684838887943954,10.222209256593512,1.8304634094238281,2.2818243503570557
107,0.0,0.0,3.0,2.0,10.0,0.0,ecoMVDR,-6.916777177954833,14.431922533141815,-0.005049503305017586,-0.16469642740043106,12.09528907518088,21.635512808186157,11.636250943431463,1.8304634094238281,2.242724895477295
108,0.0,0.0,3.0,2.0,10.0,0.0,rtfLCMV,3.7896692768420444,14.431922533141815,-0.005049503305017586,-0.16469642740043106,13.541520962310901,10.562928305185793,8.789413862416751,1.8304634094238281,2.1590311527252197
109,0.0,0.0,3.0,2.0,10.0,0.0,ecoLCMV,-5.830938017502508,14.431922533141815,-0.005049503305017586,-0.16469642740043106,12.204296111749473,19.869787898187404,11.52352064045994,1.8304634094238281,2.17073655128479
