,filename,src_id,src_ch,src_signal,room_rfl_floor,room_rfl_ceiling,room_rfl_west,room_rfl_south,room_rfl_east,room_rfl_north,room_fornitures,room_temperature,rec_silence_dB,rec_artifacts,mic_type,array_bar_x,array_bar_y,array_bar_z,array_bar_theta,array_bar_aiming_at_corner,mic_id,mic_ch,mic_pos_x,mic_pos_y,mic_pos_z,mic_signal,src_pos_x,src_pos_y,src_pos_z
33,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,1.026,3.9539999999999997,-1.314,21.1,['xy'],2.0,35.0,0.9956790101181721,0.9956790101181721,0.9956790101181721,babble,0.96,4.769,-0.9159999999999999
34,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,1.026,3.9539999999999997,-1.314,21.1,['xy'],3.0,36.0,1.05632098988183,1.05632098988183,1.05632098988183,babble,0.96,4.769,-0.9159999999999999
35,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,1.026,3.9539999999999997,-1.314,21.1,['xy'],4.0,37.0,1.1496163433643798,1.1496163433643798,1.1496163433643798,babble,0.96,4.769,-0.9159999999999999
36,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,-1.3730000000000002,250.0,['xy'],5.0,38.0,0.816897467557394,0.816897467557394,0.816897467557394,babble,0.96,4.769,-0.9159999999999999
37,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,-1.3730000000000002,250.0,['xy'],6.0,39.0,0.8032166618243679,0.8032166618243679,0.8032166618243679,babble,0.96,4.769,-0.9159999999999999
38,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,-1.3730000000000002,250.0,['xy'],7.0,40.0,0.7861156546580841,0.7861156546580841,0.7861156546580841,babble,0.96,4.769,-0.9159999999999999
39,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,-1.3730000000000002,250.0,['xy'],8.0,41.0,0.763884345341916,0.763884345341916,0.763884345341916,babble,0.96,4.769,-0.9159999999999999
40,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,-1.3730000000000002,250.0,['xy'],9.0,42.0,0.7296823310093491,0.7296823310093491,0.7296823310093491,babble,0.96,4.769,-0.9159999999999999
41,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,2.291,1.669,-1.19,-27.0,['xy'],10.0,43.0,2.18185170078692,2.18185170078692,2.18185170078692,babble,0.96,4.769,-0.9159999999999999
42,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,2.291,1.669,-1.19,-27.0,['xy'],11.0,44.0,2.21749196175446,2.21749196175446,2.21749196175446,babble,0.96,4.769,-0.9159999999999999
43,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,2.291,1.669,-1.19,-27.0,['xy'],12.0,45.0,2.26204228796388,2.26204228796388,2.26204228796388,babble,0.96,4.769,-0.9159999999999999
44,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,2.291,1.669,-1.19,-27.0,['xy'],13.0,46.0,2.31995771203612,2.31995771203612,2.31995771203612,babble,0.96,4.769,-0.9159999999999999
45,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,2.291,1.669,-1.19,-27.0,['xy'],14.0,47.0,2.40905836445496,2.40905836445496,2.40905836445496,babble,0.96,4.769,-0.9159999999999999
46,2020-01-22__22-48-55,1.0,45.0,babble,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.408,2.461,-1.043,57.7,['xy'],15.0,48.0,3.3425418371997497,3.3425418371997497,3.3425418371997497,babble,0.96,4.769,-0.9159999999999999
