,filename,src_id,src_ch,src_signal,room_code,room_rfl_floor,room_rfl_ceiling,room_rfl_west,room_rfl_south,room_rfl_east,room_rfl_north,room_fornitures,room_temperature,rec_silence_dB,rec_artifacts,mic_type,array_bar_x,array_bar_y,array_bar_z,mic_id,mic_ch,mic_pos_x,mic_pos_y,mic_pos_z,mic_signal,src_pos_x,src_pos_y,src_pos_z
83,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.687,3.876,0.91,22.0,54.0,3.74389361,3.93574418,0.91,babble,,,
84,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.687,3.876,0.91,23.0,55.0,3.70941264,3.89953559,0.91,babble,,,
85,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.687,3.876,0.91,24.0,56.0,3.66458736,3.85246441,0.91,babble,,,
86,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.687,3.876,0.91,25.0,57.0,3.59562541,3.78004723,0.91,babble,,,
87,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.031,3.445,1.46,26.0,58.0,3.12959949,3.37230619,1.46,babble,,,
88,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.031,3.445,1.46,27.0,59.0,3.09740374,3.39604294,1.46,babble,,,
89,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.031,3.445,1.46,28.0,60.0,3.05715905,3.42571389,1.46,babble,,,
90,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.031,3.445,1.46,29.0,61.0,3.00484095,3.46428611,1.46,babble,,,
91,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.031,3.445,1.46,30.0,62.0,2.92435157,3.523628,1.46,babble,,,
92,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,loopback,,,,,,,,,,,,
93,2020-01-22__22-48-55,3.0,47.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.972,3.954,1.039,1.0,33.0,0.85771319,3.90990039,1.039,babble,,,
94,2020-01-22__22-48-55,3.0,47.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.972,3.954,1.039,2.0,34.0,0.89503133,3.92430026,1.039,babble,,,
95,2020-01-22__22-48-55,3.0,47.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.972,3.954,1.039,3.0,35.0,0.94167901,3.9423001,1.039,babble,,,
96,2020-01-22__22-48-55,3.0,47.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.972,3.954,1.039,4.0,36.0,1.00232099,3.9656999,1.039,babble,,,
97,2020-01-22__22-48-55,3.0,47.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.972,3.954,1.039,5.0,37.0,1.09561634,4.00169958,1.039,babble,,,
98,2020-01-22__22-48-55,3.0,47.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,0.98,6.0,38.0,0.81689747,2.24411235,0.98,babble,,,
99,2020-01-22__22-48-55,3.0,47.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,0.98,7.0,39.0,0.80321666,2.20652464,0.98,babble,,,
100,2020-01-22__22-48-55,3.0,47.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,0.98,8.0,40.0,0.78611565,2.15954001,0.98,babble,,,
